Наименование,Белки,Жиры,Углеводы,Ккал
Шоколад M&M's с шоколадом,4.9,20.3,73.0,472
Шоколад M&M's со вкусом лесного ореха,5.0,19.6,70.9,480
Шоколад M&M's со вкусом малины,4.3,19.0,71.3,474
Шоколад Mars,4.4,18.2,68.0,453
Шоколад Mars Max,4.4,18.1,68.0,453
Шоколад Milka Choko Biscuit,5.9,34.0,55.0,558
Шоколад Milka Oreo,5.4,34.0,56.0,553
Шоколад Milka молочный,5.7,31.0,57.6,534
Шоколад Milka молочный с арахисом и карамелью,9.1,33.0,51.0,546
Торт Маковый,11.4,37.4,40.2,543
Торт Малиновый,6.1,24.2,37.8,411
Торт Малиновый рай,3.2,17.8,48.1,365
Торт Маска,4.7,16.3,49.7,357
Торт Медовая сказка,6.4,24.8,54.7,467
Торт Медовая фантазия с грецким орехом,3.3,23.8,58.3,460
Торт Медовая фантазия с грушей,3.1,18.2,54.1,392
Торт Медовая фантазия с черносливом,3.1,22.2,57.6,441
Торт Медовик,6.0,29.0,48.9,478
Торт Медовый от Палыча,5.4,26.3,42.4,428
Торт Миндальный замороженный Вкусвилл,9.8,22.4,38.8,396
Вино белое столовое 11%,0.2,0.0,0.2,65
Вино белое сухое,0.1,0.0,0.6,66
Вино белое Херес,0.0,0.0,3.0,126
Вино красное Божоле Нуво,2.5,0.0,0.0,95
Вино красное Бургундское,0.0,0.0,4.0,86
Вино красное десертное,0.5,0.0,20.0,172
Вино красное Кагор,0.0,0.0,16.0,147
Вино красное Киндзмараули,0.5,0.0,20.0,172
Вино красное Кьянти,0.1,0.0,2.7,84
Вино красное столовое 12%,0.3,0.0,0.2,71
Мороженое Вологодский пломбир,3.7,14.0,23.0,230
Мороженое Вологодский пломбир шоколадный в стаканчике,4.0,11.5,22.0,210
Мороженое Инмарко Золотой стандарт пломбир,3.9,15.0,20.4,232
Мороженое Инмарко Торжество пломбир натуральные сливки,3.9,15.0,20.4,232
Мороженое Инмарко Торжество Птичье молоко,3.7,12.9,30.0,251
Мороженое Инмарко Торжество с клубничным чизкейком,3.9,8.3,29.3,208
Мороженое Магнат Брюнетка,4.3,17.4,29.9,293
Мороженое Магнат Мадагаскар тёмный шоколад,4.0,18.5,26.1,287
Мороженое Магнат пломбир,4.3,20.1,26.7,305
Мороженое молочное,3.2,3.5,21.3,126
Шоколад Milka молочный с фундуком,6.6,33.8,53.4,545
Шоколад Milka молочный с фундуком и изюмом,5.6,26.8,56.9,495
Шоколад Milka молочный с цельным фундуком,7.5,36.5,49.0,555
Шоколад MilkyWay,3.6,16.8,71.7,452
Шоколад MilkyWay 1+1,3.5,16.8,71.7,452
Шоколад MilkyWay Crispy Rolls,7.1,26.4,62.1,514
Шоколад MilkyWay Клубничный коктейль,3.5,16.8,71.6,452
Шоколад Nestle After Eight,2.5,12.8,74.4,428
Шоколад Nestle for Men,7.5,33.8,54.9,555
Шоколад Nestle for Men с фундуком,8.6,36.5,47.8,572
Торт на фруктозе вишневый,2.9,16.7,53.8,377
Торт на фруктозе с крыжовником,2.9,16.6,54.5,379
Торт на фруктозе с курагой,3.1,16.7,55.2,384
Торт Наполеон от Палыча,5.9,32.7,23.8,413
Торт Наполеон Черёмушки,6.4,42.2,38.7,558
Торт Натюрморт,4.2,14.7,48.4,341
Торт Нежный от Палыча,7.7,28.5,49.7,486
Торт Нюанс,11.7,23.8,34.3,413
Торт Ореховый от Палыча,8.5,32.4,42.7,496
Торт От всей души,3.5,13.6,48.3,324
Торт Отелло,5.9,15.4,55.9,379
Вино красное сухое,0.2,0.0,0.3,68
Вино красное Хванчкара,0.1,0.0,3.0,83
Вино медовое,0.0,0.0,21.3,71
Виски,0.0,0.0,0.4,235
Водка,0.0,0.0,0.1,235
Водка анисовая,0.1,0.1,0.5,225
Глинтвейн August Weinxof,0.0,0.0,7.5,85
Глинтвейн St Lorenz,0.0,0.0,8.0,80
Грог,0.0,0.0,0.0,220
Джин,0.0,0.0,0.0,220
Мороженое молочное клубничное,3.8,2.8,22.2,123
Мороженое молочное крем-брюле,3.5,3.5,23.1,134
Мороженое молочное ореховое,5.4,6.5,20.1,157
Мороженое молочное шоколадное,4.2,3.5,23.0,138
Мороженое От Деда Мороза ванильное и клубничное с клубничным джемом,2.9,9.0,21.6,179
Мороженое пломбир,3.2,15.0,20.8,227
Мороженое пломбир крем-брюле,3.0,15.0,23.0,235
Мороженое пломбир ореховый,5.2,18.0,19.9,259
Мороженое пломбир шоколадный,3.6,15.0,22.3,236
Мороженое Русский Холодъ Золотой пломбир,3.8,12.0,20.4,205
Шоколад Nestle for Men с цельным миндалем,8.6,35.8,51.1,560
Шоколад Nestle Nesquik,5.9,22.1,65.6,485
Шоколад Nue Bitter Chocolate Cocoa Bean,8.0,48.0,25.0,560
Шоколад Nue Milk Chocolate Gianduia,6.5,47.0,40.0,610
Шоколад Nuts Арахис,10.6,28.5,49.8,498
Шоколад Nuts Мегабайт,6.8,26.7,59.1,504
Шоколад Nuts Мегабайт новая нежная нуга,6.6,26.7,59.0,507
Шоколад Nuts Ореховый Тюнинг,6.8,26.6,59.1,504
Шоколад O'Zera Carenero Superior 97.7%,13.8,46.7,17.6,573
Шоколад Okasi с зелёным чаем матча,0.0,34.6,54.2,563
Торт Панчо,5.6,13.1,33.5,270
Торт Персидская ночь,6.4,27.3,53.4,478
Торт Пирамида,4.5,14.0,34.5,284
Торт Подарочный,6.6,21.5,43.6,388
Торт Полено,2.6,17.8,50.6,354
Торт Полёт,5.7,24.8,55.4,456
Торт Постный апельсиновый,5.5,8.0,12.8,145
Торт Постный с лимоном и малиной,5.5,8.0,12.8,145
Торт Постный с морковью и ананасами,5.5,8.0,12.8,145
Джин-тоник,0.0,0.0,6.7,78
Коктейль Кровавая Мэри,0.8,0.3,4.8,60
Коктейль Мохито,0.0,0.0,17.0,74
Коктейль Пина Колада,0.4,1.8,22.4,174
Коктейль Эгг-ног,5.5,0.1,0.4,27
Коньяк,0.0,0.0,0.1,239
Ликёр Amaretto,0.0,0.0,35.0,280
Ликёр Amarula,3.0,13.0,25.0,327
Ликёр Baileys,3.0,13.0,25.0,327
Ликёр Becherovka,0.0,0.0,6.4,248
Мороженое Русский Холодъ Юбилейное ванильное,3.7,12.0,20.4,204
Мороженое Русский Холодъ Юбилейное эскимо без глазури,3.7,13.2,20.4,215
Мороженое сливочное,3.3,10.0,19.8,179
Мороженое сливочное клубничное,3.8,8.0,20.9,165
Мороженое сливочное крем-брюле,3.5,10.0,21.6,186
Мороженое сливочное ореховое,5.5,13.0,18.6,210
Мороженое сливочное шоколадное,3.5,10.0,21.5,188
Мороженое Талосто Ля Фам крем-брюле,4.5,13.7,32.0,262
Мороженое Фифти-фифти Птичье молоко,9.6,10.8,19.4,213
Мороженое Чистая Линия Cемейное пломбир ванильное,3.7,12.0,20.5,205
Меланж яичный,12.7,11.5,0.7,157
Омлет,9.6,15.4,1.9,184
Омлет из взбитых сливок,6.4,14.8,26.2,257
Омлет из яичного порошка,10.3,17.0,1.6,200
Омлет с сыром,16.3,29.7,2.6,342
Яичница глазунья,11.9,17.3,0.7,215
Шоколад Okasi с фиолетовым бататом,8.0,42.0,48.0,563
Шоколад Picnic,7.4,28.8,56.6,504
Шоколад Picnic Мега,7.4,28.8,56.6,504
Шоколад Picnic Мега Грецкий орех,4.2,33.2,41.7,473
Шоколад RED молочный с фундуком и макадамией без сахара,8.0,28.0,41.0,383
Шоколад RED тёмный классический без сахара,4.7,24.0,33.0,286
Шоколад Ritter Sport Schokowurfel,7.0,37.0,50.0,562
Шоколад Ritter Sport белый с цельным лесным орехом,8.4,39.9,47.6,583
Шоколад Ritter Sport горький с какао из Папуа Новая Гвинея,6.2,32.1,52.6,524
Шоколад Ritter Sport горький с нежным кремом à la Mousse au Chocolat,6.6,35.9,46.4,535
Шоколад Ritter Sport горький с элитным какао из Эквадора,8.3,44.6,31.0,558
Шоколад Ritter Sport зимний Апельсин-Марципан,6.0,27.0,57.0,497
Шоколад Ritter Sport зимний Ванильный Рогалик,6.0,38.0,52.0,571
Шоколад Ritter Sport зимний Карамель-Миндаль,7.0,31.0,57.0,532
Торт Постный с морковью и мандаринами,5.5,8.0,12.8,145
Торт Постный с орехами,6.2,9.1,13.0,159
Торт Постный свекольный,5.5,8.0,12.8,145
Торт Постный ягодный,5.5,8.0,12.8,145
Торт Прага от Палыча,4.6,26.5,65.1,517
Торт Прага Черёмушки,7.2,24.3,42.0,411
Торт Прелесть Черемушки,3.9,20.0,48.3,417
Торт Птичка,3.0,17.8,62.6,412
Торт Птичка от Палыча ассорти,4.3,20.3,53.9,416
Ликёр Blue Curacao,0.0,0.0,46.0,236
Ликёр Brogans,2.7,7.3,32.7,241
Ликёр Campari,0.0,0.0,12.0,112
Ликёр Cointreau,0.0,0.0,20.0,197
Ликёр Don Amaretto Milano,0.0,0.0,35.0,280
Ликёр Drambuie,0.0,0.0,40.0,299
Ликёр Frangelico,0.0,0.7,19.0,63
Ликёр Galliano,0.0,0.0,6.4,248
Ликер Grand Marnier,0.0,0.0,20.0,197
Ликёр Irish Mist,0.0,0.0,6.4,248
Ликёр Jagermeister,0.0,0.0,13.2,246
Ликёр Kahlua,0.6,0.7,41.7,291
Ликёр Limoncello,0.0,0.0,30.0,325
Ликёр Malibu,0.0,0.0,20.0,197
Мороженое Экзо Арбуз и дыня,1.9,3.9,28.7,166
Мороженое Экзо Черника и ежевика,1.9,3.9,28.7,166
Мороженое эскимо,3.5,20.0,19.6,270
Яичный порошок,46.0,37.3,4.5,542
Яйцо гусиное,13.9,13.3,1.4,185
Яйцо индюшиное,13.1,11.7,0.7,165
Яйцо куриное,12.7,10.9,0.7,157
Яйцо куриное (белок сухой),73.3,1.8,7.0,336
Яйцо куриное (белок),11.1,0.0,0.0,44
Яйцо куриное (вареное в мешочек),12.7,11.5,0.7,157
Яйцо куриное (вареное вкрутую),12.9,11.6,0.8,160
Яйцо куриное (вареное всмятку),12.8,11.6,0.8,159
Яйцо куриное (желток сухой),34.2,52.2,4.4,623
Яйцо куриное (желток),16.2,31.2,1.0,352
Яйцо куриное (пашот),12.7,10.9,1.2,159
Яйцо куриное маринованное,11.0,10.0,0.0,148
Шоколад Ritter Sport молочный с альпийским молоком,8.3,31.4,55.6,538
Шоколад Ritter Sport молочный с вишней Амарена,5.0,38.6,52.0,574
Шоколад Ritter Sport молочный с карамелью и орехом,7.5,36.6,50.4,561
Шоколад Ritter Sport молочный с клубникой в йогурте,6.3,37.7,52.4,570
Шоколад Ritter Sport молочный с кокосовой начинкой,7.0,41.0,48.0,584
Шоколад Ritter Sport молочный с кукурузными хлопьями,6.4,28.0,60.5,519
Шоколад Ritter Sport молочный с лесным орехом и калифорнийским изюмом,6.9,29.1,55.9,513
Торт Птичка от Палыча классическая,3.2,16.9,54.4,383
Торт Птичка от Палыча крем-брюле,4.1,21.1,48.4,400
Торт Птичка от Палыча с халвой и мармеладом,5.5,24.5,59.2,479
Торт Птичьи голоса,3.6,23.8,55.5,435
Торт Радость,3.7,16.1,48.5,344
Торт Райский сад,3.3,8.7,43.4,264
Торт Роза,4.0,18.1,59.7,404
Торт Ром и шоколад,6.8,23.3,49.7,436
Торт Рыжик,5.4,26.2,46.1,436
Ликёр Maraschino,0.0,0.0,40.0,299
Ликёр Midori,0.0,0.0,39.0,140
Ликёр Mozart,1.2,7.8,34.0,332
Ликёр Sambuca,0.0,0.0,40.0,240
Ликёр Sheridans,1.4,7.0,39.0,315
Ликёр Southern Comfort,0.0,0.0,31.0,112
Ликёр Vana Tallinn,0.0,0.0,39.0,140
Ликёр Wild Africa,2.7,7.3,32.6,241
Ликёр Xuxu,0.0,0.0,29.0,166
Мятная настойка,0.0,0.0,6.4,250
Яйцо перепелиное,11.9,13.1,0.6,168
Яйцо страусиное,12.2,11.7,0.7,118
Яйцо утиное,13.3,14.5,0.1,185
Яйцо цесариное,12.7,0.6,0.0,45
Яйцо черепашье,10.0,12.0,0.8,155
Пиво Asahi Super Dry,0.0,0.0,3.1,41
Пиво BagBier,0.0,0.0,4.6,42
Пиво Bavaria Premium Pilsener,0.0,0.0,3.8,42
Пиво Bernard Černe,0.0,0.0,4.7,48
Пиво Budweiser Budvar Original,0.0,0.0,3.0,44
Айсинг,2.3,0.0,78.8,305
Батончик Nestle Fitness с цельными злаками и клубникой,5.8,6.7,68.9,369
Батончик злаковый Be-Kind Цельные злаки Малина,6.8,14.0,65.0,423
Батончик злаковый Be-Kind Цельные злаки Мёд,6.5,15.0,65.0,431
Батончик злаковый Corny Big с бананом и шоколадом,6.1,15.2,65.6,424
Батончик злаковый Corny Big с клюквой,5.9,7.4,71.4,377
Батончик злаковый Corny Big с лесными орехами,6.4,15.6,63.2,419
Батончик злаковый Corny Big с шоколадом,7.0,17.0,62.9,433
Батончик мюсли DiYes Чернослив в шоколаде,4.0,11.0,70.0,390
Батончик мюсли Ego с бананом в шоколаде,5.0,13.5,68.0,416
Батончик мюсли Ego с вишней в йогурте,6.0,14.0,56.0,416
Батончик мюсли Ego с клубникой в йогурте,4.0,14.5,67.5,418
Батончик мюсли Ego с лесными ягодами в йогурте,4.0,13.5,69.5,418
Батончик мюсли Ego с черникой в йогурте,5.5,14.0,67.5,420
Батончик мюсли Tekmar клубника в йогурте,4.5,16.8,70.7,452
Батончик ореховый Be-Kind Горький шоколад Морская соль,17.0,37.0,24.0,523
Батончик ореховый Be-Kind Миндаль Кокос,11.0,38.0,31.0,532
Батончик ореховый Be-Kind Орехи Мёд и Морская соль,17.0,41.0,23.0,544
Батончик Пульсар с миндалем в шоколадной глазури,6.3,13.9,58.8,385
Батончик фруктовый Joyfield с абрикосом в шоколаде,9.8,0.6,72.3,352
Батончик фруктовый Joyfield с абрикосом и яблоком,3.7,0.3,74.8,282
Батончик фруктовый Joyfield с лимонником и папайей,4.1,0.3,77.0,302
Батончик фруктовый Joyfield с полевой клубникой,4.5,0.4,75.4,286
Батончик фруктовый Joyfield с черникой,4.5,0.4,73.3,273
Батончик фруктовый Joyfield с черносливом в шоколаде,7.8,1.0,67.7,340
Батончик фруктовый Joyfield с черносливом и ананасом,3.4,0.5,75.1,314
Батончик фруктовый Joyfield с черносливом и яблоком,2.1,0.5,70.2,280
Батончик фруктовый Ого! с вишней глазированный,3.5,5.0,56.0,280
Батончик фруктовый Ого! с облепихой,3.0,5.0,44.0,200
Батончик фруктовый Ого! с черникой,4.0,0.7,86.0,330
Батончик фруктовый Сладкий мир хлеб банановый,6.8,9.6,59.9,352
Батончик фруктовый Фрутилад с облепихой,3.5,1.0,45.0,210
Барбарис,0.0,0.0,7.9,29
Боярышник,0.0,0.0,14.0,52
Брусника,0.7,0.5,9.6,43
Баурсак,6.8,2.6,45.8,234
Бисквитник Сдобная особа медовый с вареной сгущенкой,5.3,19.6,46.1,378
Бисквитник Сдобная особа с начинкой маракуйя,3.9,17.2,51.5,375
Бисквитник Сдобная особа шоколадный с шоколадной начинкой,4.3,18.3,48.5,378
Варенье из абрикосов,0.0,0.0,62.0,236
Варенье из айвы,0.4,0.2,70.6,273
Варенье из апельсинов,2.6,0.5,70.0,245
Варенье из брусники,0.2,0.1,64.6,244
Брусника 4 сезона,0.7,0.5,8.2,40
Брусника Hortex,0.7,0.4,7.5,36
Брусника мочёная,0.3,0.2,5.3,24
Бузина,0.7,0.5,11.4,73
Виноград,0.6,0.2,16.8,65
Виноград белый Дамские пальчики,0.6,0.2,13.5,60
Виноград белый кишмиш,0.7,0.2,17.2,69
Виноград фиолетовый ранний,0.6,0.2,16.8,65
Голубика,1.0,0.0,8.2,35
Ежевика,2.0,0.0,6.4,31
Варенье из вишни,0.0,0.0,64.0,256
Варенье из груши,0.3,0.2,70.8,273
Варенье из дыни,0.3,0.1,44.7,197
Варенье из земляники,0.3,0.1,58.0,219
Варенье из инжира,0.0,0.0,62.0,236
Варенье из кабачков,0.3,0.1,48.9,196
Варенье из клубники,0.3,0.1,74.0,285
Варенье из лимонов,0.0,0.0,60.0,240
Ежевика 4 сезона,2.1,0.4,4.6,31
Ежевика Hortex,2.0,0.0,3.8,23
Жимолость,0.0,0.0,7.8,30
Земляника,0.8,0.4,7.5,41
Ирга,0.0,0.0,12.0,45
Калина,0.0,0.0,7.0,26
Клубника,0.8,0.4,7.5,41
Клубника 4 сезона,0.8,0.1,6.6,34
Клубника Hortex,0.7,0.4,5.4,32
Клубника консервированная,0.6,0.3,16.1,65
Клюква,0.5,0.0,6.8,26
Варенье из малины,0.6,0.2,70.4,273
Варенье из мандаринов,0.7,0.2,75.9,294
Варенье из облепихи,0.7,3.7,34.4,165
Варенье из одуванчиков,0.6,0.1,48.0,191
Варенье из персиков,0.5,0.0,66.8,258
Варенье из ревеня,0.5,0.5,82.4,314
Варенье из сливы,0.4,0.3,74.2,288
Варенье из тёрна,0.0,0.0,62.0,248
Варенье из черники,0.4,0.2,56.1,214
Варенье из чёрной смородины,0.6,0.1,72.9,284
Клюква 4 сезона,0.5,0.2,3.9,18
Клюква Hortex,0.5,0.0,3.8,17
Княженика,0.0,0.0,7.0,26
Компотное ассорти Hortex с клубникой,1.1,0.3,3.2,52
Крыжовник,0.7,0.2,12.0,43
Лимонник,1.0,0.0,1.9,11
Логанова ягода,1.5,0.3,7.7,55
Малина,0.8,0.5,8.3,46
Малина 4 сезона,0.8,0.5,8.3,39
Можжевельник,0.0,0.0,31.0,116
Варенье из черноплодной рябины,0.4,0.0,74.8,387
Варенье из яблок,0.4,0.3,68.2,265
Вафли венские с карамелью,8.1,19.4,53.3,424
Вафли венские со взбитыми сливками,4.8,23.3,50.5,489
Вафли ВкусВилл с какао,6.0,30.0,61.0,538
Вафли Леди Джем со вкусом вишни,3.0,1.0,82.0,330
Вафли с жирной начинкой,3.4,30.2,64.7,539
Вафли с фруктовой начинкой,3.2,2.8,80.9,350
Вафли Сдобная особа домашние с изюмом,7.9,21.7,55.8,452
Вафли Сдобная особа домашние сахарные,8.2,23.1,54.4,459
Вафли Сдобная особа мягкие с суфле классические,5.5,23.9,52.2,446
Морошка,0.8,0.0,9.8,28
Облепиха,1.2,5.4,5.7,82
Облепиха Hortex,1.2,5.4,5.7,82
Рябина,1.5,0.1,10.9,50
Смородина белая,0.5,0.2,8.0,42
Смородина красная,0.6,0.2,7.7,43
Смородина чёрная,1.0,0.4,7.3,44
Смородина чёрная 4 сезона,1.0,0.2,6.1,28
Смородина чёрная Hortex,1.3,0.2,7.0,51
Фруктовая смесь Hortex с малиной,1.0,0.3,6.4,40
Вафли Сдобная особа мягкие с суфле со вкусом пломбира,5.5,23.9,52.2,446
Вафли Яшкино с карамельной начинкой,6.0,15.2,67.9,430
Галеты Nordic из овса с брусникой,9.0,14.0,61.0,420
Галеты Любятово классические,11.1,1.2,76.0,365
Ганаш,4.9,34.5,52.5,542
Ганаш белый,3.9,37.2,48.9,547
Ганаш шоколадный,4.9,34.5,52.5,542
Гематоген,6.0,3.0,75.7,354
Черника,1.1,0.4,7.6,44
Черника 4 сезона,1.1,0.6,8.2,43
Черника Hortex,1.1,0.6,6.0,34
Черноплодная рябина,1.5,0.2,10.9,55
Шефердия серебристая,0.5,0.2,3.7,28
Шиповник,1.6,0.0,14.0,51
Ягоды,0.9,0.3,7.5,38
Гематоген Русский детский,3.5,2.9,75.6,343
ГематогенКА,4.9,11.5,81.0,425
Десерт Alpro Soya ванильный,3.0,1.8,12.7,80
Багель,7.9,9.4,55.5,339
Багет,7.5,2.9,51.4,262
Багет мини с отрубями,6.4,0.8,39.1,189
Багет чесночный,7.5,15.0,49.0,360
Баранки,16.0,1.0,70.0,336
Батард ржаной,7.9,1.8,49.7,250
Батон Нарезной,7.5,2.9,50.9,264
Батон Подмосковный,7.5,2.6,50.6,261
Батон Пышный Зерновая коллекция,8.0,2.5,44.0,230
Батон с пшеничными отрубями,9.2,2.8,51.4,273
Батон Столичный,7.7,0.8,50.2,243
Брецель,20.0,6.0,35.0,300
Бриошь,5.2,7.5,57.2,304
Брускетта,4.7,23.0,21.7,315
Бублик,16.0,1.0,70.0,336
Бублик Украинский,8.3,6.4,58.2,328
Бублик Ярмарочный,8.5,7.0,58.3,330
Булочка к чаю,7.2,6.2,51.0,317
Булочка Калорийная,7.3,9.6,62.4,363
Булочка отрубная,7.8,1.8,43.9,220
Булочка Столичная,8.4,2.2,52.8,270
Булочки 8 злаков,13.9,5.3,43.7,277
Булочки Бургундские,0.7,1.7,55.0,266
Булочки Бутербродные с кунжутом,9.6,4.2,59.5,320
Булочки для гамбургеров,7.0,4.0,52.0,272
Булочки для хот-догов,8.7,7.5,60.6,339
Булочки пшеничные с кунжутом Коломенское,8.0,5.0,55.0,300
Булочки сдобные,7.9,9.4,55.5,339
Булочки сдобные с кардамоном Коломенское,8.0,7.0,62.0,340
Ватрушка с творожной начинкой,10.0,12.1,46.1,331
Волован,7.9,29.9,35.9,435
Гренки пшеничные,11.4,9.0,65.7,390
Гренки пшеничные кубики салатные,12.3,5.2,61.6,342
Гренки ржаные с чесноком,9.5,12.5,22.1,239
Гриссини,7.0,6.0,40.0,238
Калач,7.9,0.8,51.6,249
Каравай Праздничный,7.7,6.3,45.9,276
Крендель,8.2,3.1,69.3,338
Крутоны,10.1,9.7,71.7,426
Кулич пасхальный магазинный,5.5,15.8,43.3,331
Лаваш армянский,7.9,1.0,47.6,236
Лаваш армянский БКК Коломенский бездрожжевой тонкий,10.0,3.0,70.0,350
Лаваш армянский Вкусвилл по-деревенски,8.7,1.2,54.0,261
Лаваш армянский Чёрная Каракатица,7.2,0.8,48.3,229
Лаваш кавказский,8.1,0.7,57.1,274
Лаваш Фитнес отрубной,5.2,0.4,33.3,147
Лаваш шпинатный,7.2,0.8,48.3,220
Лепёшка ржаная,8.0,18.3,44.2,376
Лепешка узбекская с кунжутом,7.9,0.8,50.4,245
Лепешки пшеничные Mission Deli оригинальные,7.0,7.0,46.0,280
Маца,10.5,1.3,69.9,312
Основа для пиццы Талосто,2.9,2.4,54.4,274
Паляница Украинская,7.9,0.9,50.2,246
Пампушки,5.8,3.9,41.9,215
Пампушки с чесноком,8.6,3.3,58.8,299
Пита,7.4,0.8,49.9,242
Пицца Casa Nostra Ассорти,11.4,8.5,29.8,261
Пицца Casa Nostra Ветчина-Сыр,8.5,7.2,29.6,235
Пицца Casa Nostra Грибы-Сыр,9.4,4.7,29.2,203
Пицца la Trattoria Ассорти,10.5,12.9,26.2,263
Пицца Ristorante Bolognese,8.7,9.5,22.9,213
Пицца Ristorante Calzone Speciale,11.2,13.9,21.9,258
Пицца Ristorante Formaggi and Pomodori,7.7,11.6,23.9,232
Пицца Ristorante Funghi,7.8,12.3,22.9,235
Пицца Ristorante Hawaii,8.6,8.6,25.7,215
Пицца Ristorante Mozzarella,10.5,13.6,24.3,262
Пицца Ristorante Pepperoni-Salame,10.1,14.1,25.8,272
Пицца Ristorante Piccola Mozzarella,10.0,12.7,22.8,246
Пицца Ristorante Piccola Salame,10.0,13.5,25.4,264
Пицца Ristorante Prosciutto,10.1,10.1,24.1,228
Пицца Ristorante Quattro Formaggi,10.8,14.0,24.1,267
Пицца Ristorante Salame,10.4,14.0,26.3,273
Пицца Ristorante Speciale,10.0,13.3,23.5,255
Пицца Ristorante Vegetale,6.7,9.1,22.2,198
Плетёнка с кунжутом,7.9,2.7,51.5,267
Плетёнка с маком,7.9,2.7,51.5,267
Плюшка,7.6,8.8,56.4,334
Плюшка Московская,7.6,8.7,57.2,330
Абрикос,0.9,0.1,9.0,44
Абрикос консервированный,0.4,0.1,15.5,67
Пончик,5.6,13.0,38.8,296
Рогалик,7.9,10.8,57.2,357
Авокадо,2.0,20.0,6.0,212
Айва,0.6,0.5,9.8,40
Аки,1.0,15.0,8.0,151
Алыча,0.2,0.0,6.9,27
Ананас,0.4,0.2,10.6,49
Ананас консервированный,0.1,0.1,14.0,57
Апельсин,0.9,0.2,8.1,36
Апельсин маринованный,0.6,0.0,8.9,37
Арбуз,0.6,0.1,5.8,25
Арбуз консервированный,0.5,0.1,9.0,37
Ацерола,0.4,0.3,7.7,32
Банан,1.5,0.2,21.8,95
Вишня,0.8,0.5,11.3,52
Вишня 4 сезона без косточки,0.8,0.2,10.7,50
Вишня Hortex без косточки,0.9,0.4,9.9,49
Вишня замороженная,0.9,0.4,11.0,46
Вишня консервированная,0.8,0.2,10.6,45
Гранадилла,0.5,0.1,8.0,46
Сыворотка творожная,0.8,0.2,3.5,20
Гранат,0.9,0.0,13.9,52
Грейпфрут,0.7,0.2,6.5,29
Груша,0.4,0.3,10.9,42
Груша консервированная,0.2,0.0,15.6,65
Гуава,2.6,1.0,8.9,68
Гуава земляничная,0.6,0.6,17.4,69
Гуарана,0.1,0.0,6.5,26
Джекфрут (плод хлебного дерева),1.4,0.3,22.4,94
Дуриан,1.5,5.3,23.3,147
Дыня,0.6,0.3,7.4,33
Дыня медовая,0.6,0.3,7.4,33
Жердела,0.9,0.2,10.0,46
Сыр Almette с белыми грибами,6.0,23.0,5.0,251
Сыр Almette с зеленью,6.0,20.0,3.0,216
Сыр Almette с йогуртом,7.0,15.0,5.0,183
Сыр Almette с огурцами и зеленью,5.0,20.0,3.0,212
Сыр Almette с хреном,6.0,20.0,4.0,220
Сыр Almette с чесноком,6.0,20.0,3.0,216
Сыр Almette сливочный,6.0,20.0,3.0,216
Сыр Artis для жарки на сковороде и гриле 45%,21.0,22.0,1.0,282
Сыр Bogda Milk Эгейский свежий 45%,16.5,18.0,0.0,228
Сыр Bonfesto Cremolle вяленые томаты,6.8,22.1,4.4,240
Сыр Bonfesto Cremolle солёные огурцы,7.2,22.4,2.1,240
Агар пищевой,4.0,0.0,76.0,301
Аджика,1.0,3.7,5.8,59
Ажгон,19.7,14.5,11.9,333
Звёздное яблоко,0.5,0.4,15.3,67
Инжир,0.7,0.2,13.7,49
Карамбола,1.0,0.0,7.0,31
Кивано,1.8,1.3,7.6,44
Киви,1.0,0.6,10.3,48
Кизил,1.0,0.0,10.5,44
Клементин,0.9,0.2,10.3,47
Корлан,0.7,0.2,18.0,82
Кумкват,1.9,0.9,9.4,71
Лайм,0.9,0.1,3.0,16
Лимон,0.9,0.1,3.0,16
Сыр Bonfesto Mozzarella Pizza,18.4,20.3,0.0,256
Сыр Bonfesto Ricotta Light мягкий,11.3,10.0,2.5,145
Сыр Bonvida Моцарелла для пиццы,17.0,16.8,3.0,231
Сыр Brie Les Chateaux De France 32%,17.0,32.0,2.0,364
Сыр Comella рассольный,13.5,13.3,5.0,194
Сыр Danke Gouda Gold 45%,23.0,24.0,0.0,308
Сыр Danke Царский с ароматом топленого молока 45%,23.0,24.0,0.0,308
Сыр Dolce Granto Пармезан 40%,30.0,28.0,0.0,372
Сыр Emborg Professional творожный 65%,6.0,28.3,3.0,290
Сыр Endorf Tulyere,23.0,25.0,0.0,320
Сыр Exquisa творожный с зеленью,6.7,22.0,3.0,237
Сыр Exquisa творожный с лососем,6.7,21.5,3.5,235
Аквафаба нутовая,0.4,0.0,0.9,5
Аквафаба сублимированная Гала-Гала,6.1,0.0,14.0,84
Анис,17.6,15.9,35.4,337
Асафетида,0.1,0.1,0.1,
Бадьян,18.0,16.0,50.0,337
Базилик свежий,2.5,0.6,4.3,27
Базилик сушеный,14.4,4.0,61.0,251
Бахарат,10.9,3.2,38.3,255
Бербере,2.0,0.1,11.0,71
Болдо,7.6,8.3,48.6,313
Букет гарни,12.4,6.5,26.0,259
Бульонный кубик,2.0,2.0,4.0,40
Лимон маринованный,0.4,0.3,6.5,21
Лимон японский (Юзу),0.5,0.1,7.0,21
Личи,0.8,0.3,14.4,65
Лонган,1.3,0.1,14.0,60
Лукума,0.1,0.1,7.9,32
Маболо,0.5,0.4,15.3,67
Магический фрукт,0.0,0.0,7.7,30
